Home,Level,BOM Line,Item Description,Quantity,Item Type,QTY., UNIT PRICE , totPRICE , subtotal , PO , VENDOR ,Rule configured by,Item Rev Status,Find No.,Make/Buy,Unit Of Measure,Reference Designator,All Notes,VOC - Variant Occ. Config'd,HCVD - Has Classic Variant Data,Variant Conditions,EOC - Effective Occ. Config'd,Occurrence Effectivity ID,Item Revision Checked-Out,Has Active Markup,PDLC,DOCINT,DOCPDLC
11,3,BOM_RVO6733401/002 x 1,"3""_BALL-FC-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
12,3,BOM_RVO6733405/002 x 1,"3""_BALL-FC-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
13,3,BOM_RVO6733411/002 x 1,"3""_BALL-FC-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,230,,EACH,,,Y,False,,True,,,False,,,
14,3,BOM_RVO6733412/002 x 1,"3""_BALL-FC-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,240,,EACH,,,Y,False,,True,,,False,,,
15,3,BOM_RVO6733413/002 x 1,"2""_BALL-FO-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,250,,EACH,,,Y,False,,True,,,False,,,
16,3,BOM_RVO6733409/002 x 1,"3""_BALL-FC-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,260,,EACH,,,Y,False,,True,,,False,,,
17,3,BOM_RVO6733410/002 x 1,"3""_BALL-FC-CS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,270,,EACH,,,Y,False,,True,,,False,,,
18,3,BOM_RVO6733406/002 x 1,"8""_BALL-FO-SS_300#",1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,280,,EACH,,,Y,False,,True,,,False,,,
19,3,BOM_RVO91179/000 x 1,UZV-41113,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,290,,EACH,,,Y,False,,True,,,False,,,
20,3,BOM_RVO91180/000 x 1,UZV-51413,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,300,,EACH,,,Y,False,,True,,,False,,,
21,3,BOM_RVO91185/000 x 1,UZV-51410,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,310,,EACH,,,Y,False,,True,,,False,,,
22,3,BOM_RVO91186/000 x 1,UZV-51411,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,320,,EACH,,,Y,False,,True,,,False,,,
23,3,BOM_RVO91187/000 x 1,UZV-51412,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,330,,EACH,,,Y,False,,True,,,False,,,
24,1,K005PVA15_0506053/001 x 1,ACTUATED VALVES BALANCE,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,50,,EACH,,,Y,False,,True,,,False,,,
25,2,BOM_SKO2157993/000 x 1,XV BALANCE,1,BOM,1,,," € 6,691.00 ",,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K005PVA21_0506053..1.000000,Y,False,,True,,,False,,,
26,3,BOM_RVO91192/000 x 1,XV-50410,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
27,3,BOM_RVO91193/000 x 1,XV-50610,1,BOM,1,,,,440293374,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
28,1,K005PVA20_0506053/001 x 1,MANUAL VALVES 1ST MTO,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,60,,EACH,,,Y,False,,True,,,False,,,
29,2,BOM_SKO2112444/003 x 1,manual valves first MTO,1,BOM,1,,," € 85,161.32 ",,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K005PVA02_0506053..1.000000,Y,False,,True,,,False,,,
30,3,BOM_RVO637590002/000 x 1,"BUTTERFLY VALVE-30""-300#",1,BOM,1,,,,440289233,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL ITALIA S.R.L.,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
31,3,BOM_RVO637590003/000 x 1,"BUTTERFLY VALVE-42""-300#",1,BOM,1,,,,440289233,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL ITALIA S.R.L.,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
32,3,BOM_RVO673341520/000 x 1,"BALL VALVE-6""-300#",1,BOM,1,,,,440293409,DAFRAM SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,210,,EACH,,,Y,False,,True,,,False,,,
33,3,BOM_RVO683441316/000 x 3,"CHECK VALVE-6""-300#",3,BOM,3,,,,440293430,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,290,,EACH,,,Y,False,,True,,,False,,,
34,3,BOM_RVO680014802/000 x 1,"CHECK VALVE-30""-300#",1,BOM,2,,,,440293430,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,310,,EACH,,,Y,False,,True,,,False,,,
35,3,BOM_RVO680014803/000 x 1,"CHECK VALVE-20""-600#",1,BOM,1,,,,440293430,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,320,,EACH,,,Y,False,,True,,,False,,,
36,3,BOM_RVO025867112/000 x 3,"BALL VALVE-8""-150# - C1A",3,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,490,,EACH,,,Y,False,,True,,,False,,,
37,3,BOM_RVO025867130/000 x 1,"BALL VALVE* 10""150 (BL-C2F15A-D-10)SOK9952890-pos104",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,500,,EACH,,,Y,False,,True,,,False,,,
38,3,BOM_RVO025867131/000 x 1,"BALL VALVE* 10""600 (BL-C2F60A-N-10)SOK9952890-pos105",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,510,,EACH,,,Y,False,,True,,,False,,,
39,3,BOM_RVO025867145/000 x 1,"BALL VALVE* 24""300 (BL-C2F30A-N-24)SOK9952890-pos119",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,520,,EACH,,,Y,False,,True,,,False,,,
40,3,BOM_RVO025867147/000 x 1,"BALL VALVE* 8""300 (BL-C2F30A-U-08)SOK9952890-pos121",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,530,,EACH,,,Y,False,,True,,,False,,,
41,3,BOM_RVO637590006/000 x 1,"BUTTERFLY VALVE* 30""300 (BF-C2L30A-N-30)SOK9952890-pos171",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,540,,EACH,,,Y,False,,True,,,False,,,
42,3,BOM_RVO637590007/000 x 1,"BUTTERFLY VALVE* 20""600 (BF-C2L60A-N-20)SOK9952890-pos172",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,550,,EACH,,,Y,False,,True,,,False,,,
43,3,BOM_RVO673341568/000 x 1,"BALL VALVE* 6""300 (BL-C2F30A-N-06)SOK9952890-pos140",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,560,,EACH,,,Y,False,,True,,,False,,,
44,3,BOM_RVO673341574/000 x 2,"BALL VALVE* 6""300 (BL-C2F30A-U-06)SOK9952890-pos146",2,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,570,,EACH,,,Y,False,,True,,,False,,,
45,3,BOM_RVO673341575/000 x 2,"BALL VALVE* 6""300 (BL-C2F30A-U-06)SOK9952890-pos147",2,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,580,,EACH,,,Y,False,,True,,,False,,,
46,3,BOM_RVO680014820/000 x 1,"CHECK VALVE* 16""300 (CKD-C2L30A-N-16)SOK9952890-pos173",1,BOM,0,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,590,,EACH,,,Y,False,,True,,,False,,,
47,1,K005PVA25_0506053/001 x 1,MANUAL VALVES BALANCE,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,70,,EACH,,,Y,False,,True,,,False,,,
48,2,BOM_SKO2000924/003 x 1,MANUAL VALVES BALANCE,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K005PVA22_0506053..1.000000,Y,False,,True,,,False,,,
49,3,BOM_RVO673341565/000 x 2,"BALL VALVE*2""300 (BL-C2F30A-N-02) SOK9952890-pos137",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
50,3,BOM_RVO025867142/000 x 1,"BALL VALVE* 2""600 (BL-S2F60Y-U-02)SOK9952890-pos116",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
51,3,BOM_RVO673341506/000 x 1,"BALL VALVE-1/2""-800#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
52,3,BOM_RVO673341507/000 x 3,"BALL VALVE-3/4""-800#",3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
53,3,BOM_RVO673341517/000 x 2,"BALL VALVE-2""-300#",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
54,3,BOM_RVO673341529/000 x 3,"BALL VALVE-1/2""-800#",3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
55,3,BOM_RVO673341552/000 x 1,"BALL VALVE* 1/2""800 (BL-C1Y80A-N-0D)SOK9952890-pos124",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
56,3,BOM_RVO673341582/000 x 2,"BALL VALVE* 1""800 (BL-S1Y80Y-U-01)SOK9952890-pos154",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
57,3,BOM_RVO673341583/000 x 6,"BALL VALVE* 1/2""800 (BL-S1Y80Y-U-0D)SOK9952890-pos155",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
58,3,BOM_RVO673341599/000 x 1,"BALL VALVE* 1""300 (BL-S2F30Y-U-01)SOK9952890-pos191",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
59,3,BOM_RVO683441308/000 x 6,"CHECK VALVE-1""-250 PSIG""",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
60,3,BOM_RVO683441310/000 x 6,"GLOBE VALVE-1""-800#",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
61,3,BOM_RVO673341612/000 x 2,"BALL VALVE*1/2""800 (BL-L1Y80D-N-0D SOK9952890-POS215",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,130,,EACH,,,Y,False,,True,,,False,,,
62,3,BOM_RVO673341613/000 x 1,"BALL VALVE*1/2""800 (BL-S1Y80Q-U-0D SOK9952890-POS216",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,140,,EACH,,,Y,False,,True,,,False,,,
63,3,BOM_RVO673341614/000 x 2,"BALL VALVE*1/2""800 (BL-S1Y80Y-N-01 SOK9952890-POS217",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,150,,EACH,,,Y,False,,True,,,False,,,
64,3,BOM_RVO673341615/000 x 1,"BALL VALVE*3/4""800 (BL-S1Y80Y-U-0E SOK9952890-POS218",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,160,,EACH,,,Y,False,,True,,,False,,,
65,3,BOM_RVO683441347/000 x 4,"CHECK VALVE*1""800 (CKS-C1Y80A-N-01 SOK9952890-POS219",4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
66,3,BOM_RVO683441314/000 x 6,"GLOBE VALVE-1/2""-800#",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,180,,EACH,,,Y,False,,True,,,False,,,
67,3,BOM_RVO673341616/000 x 2,"BALL VALVE*2""150 (BL-S1Y15Y-U-02 SOK9952890-POS221",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,190,,EACH,,,Y,False,,True,,,False,,,
68,3,BOM_RVO683441348/000 x 1,"CHECK VALVE*3""600 (CKD-C2L60A-N-03 SOK9952890-POS222",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,200,,EACH,,,Y,False,,True,,,False,,,
69,3,BOM_RVO673341600/000 x 2,"BALL VALVE*3/4""800 (BL-C1Y80A-U-0E) SOK9952890-pos194",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,210,,EACH,,,Y,False,,True,,,False,,,
70,3,BOM_RVO025867106/000 x 2,"BALL VALVE-2""-600#",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,220,,EACH,,,Y,False,,True,,,False,,,
71,3,BOM_RVO673341527/000 x 2,"BALL VALVE-1/2""-800#",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,230,,EACH,,,Y,False,,True,,,False,,,
72,3,BOM_RVO025867107/000 x 1,"BALL VALVE-1""-600#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,240,,EACH,,,Y,False,,True,,,False,,,
73,3,BOM_RVO673341608/000 x 1,"BALL VALVE*3/4""800 (BL-S1Y80Y-U-0E) SOK9952890-pos203",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,270,,EACH,,,Y,False,,True,,,False,,,
74,3,BOM_RVO683441317/000 x 1,Globe Valve 2”-FL-150# (GL-S2F15Y-N-02),1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,300,,EACH,,,Y,False,,True,,,False,,,
75,3,BOM_RVO673341617/000 x 1,"BALL 2"" 600#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,310,,EACH,,,Y,False,,True,,,False,,,
76,3,BOM_RVO683441349/000 x 2,"CHECK VALVE 2"" 150#",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,320,,EACH,,,Y,False,,True,,,False,,,
77,3,BOM_RVO673341620/000 x 1,"BALL VALVE 2"" 600#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,330,,EACH,,,Y,False,,True,,,False,,,
78,3,BOM_RVO673341618/000 x 1,"BALL VALVE 2"" 300#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,340,,EACH,,,Y,False,,True,,,False,,,
79,3,BOM_RVO673341619/000 x 1,"BALL VALVE 2"" 300#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,350,,EACH,,,Y,False,,True,,,False,,,
80,1,K005PVA26_0506053/001 x 1,MANUAL VALVES 2ND MTO,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,80,,EACH,,,Y,False,,True,,,False,,,
81,2,BOM_SKO2000922/003 x 1,MANUAL VALVES 2ND MTO,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K005PVA42_0506053..1.000000,Y,False,,True,,,False,,,
82,3,BOM_RVO025867106/000 x 2,"BALL VALVE-2""-600#",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
83,3,BOM_RVO025867107/000 x 6,"BALL VALVE-1""-600#",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
84,3,BOM_RVO025867108/000 x 1,"BALL VALVE-2""-600#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
85,3,BOM_RVO025867109/000 x 1,"BALL VALVE-3""-600#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
86,3,BOM_RVO025867114/000 x 2,"BALL VALVE-2""-600#-C6A",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
87,3,BOM_RVO025867118/000 x 1,"BALL VALVE-4""-600#-S6Y",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
88,3,BOM_RVO025867136/000 x 1,"BALL VALVE* 1""600 (BL-S2F60Q-U-01)SOK9952890-pos110",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
89,3,BOM_RVO025867137/000 x 1,"BALL VALVE* 4""600 (BL-S2F60Y-D-04)SOK9952890-pos111",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
90,3,BOM_RVO025867139/000 x 1,"BALL VALVE* 1""600 (BL-S2F60Y-N-01)SOK9952890-pos113",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
91,3,BOM_RVO025867141/000 x 10,"BALL VALVE* 1""600 (BL-S2F60Y-U-01)SOK9952890-pos115",10,BOM,10,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
92,3,BOM_RVO025867142/000 x 8,"BALL VALVE* 2""600 (BL-S2F60Y-U-02)SOK9952890-pos116",8,BOM,8,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
93,3,BOM_RVO025867143/000 x 1,"BALL VALVE* 2""600 (BL-S2F60Y-U-02)SOK9952890-pos117",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
94,3,BOM_RVO025867144/000 x 1,"BALL VALVE* 3""600 (BL-S2F60Y-U-03)SOK9952890-pos118",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,130,,EACH,,,Y,False,,True,,,False,,,
95,3,BOM_RVO025867148/000 x 1,"BALL VALVE*1""600 (BL-C2F60A-N-01) SOK9952890-POS199",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,140,,EACH,,,Y,False,,True,,,False,,,
96,3,BOM_RVO025867149/000 x 1,"BALL VALVE*2""600 (BL-S2F60Y-U-02) SOK9952890-POS207",1,BOM,1,,,,440307424,NEWAY VALVE (EUROPE) SRL,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,150,,EACH,,,Y,False,,True,,,False,,,
97,3,BOM_RVO673341501/000 x 1,"BALL VALVE-1""-800#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,160,,EACH,,,Y,False,,True,,,False,,,
98,3,BOM_RVO673341504/000 x 17,"BALL VALVE-1""-800#",17,BOM,17,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
99,3,BOM_RVO673341506/000 x 53,"BALL VALVE-1/2""-800#",53,BOM,53,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,190,,EACH,,,Y,False,,True,,,False,,,
100,3,BOM_RVO673341507/000 x 43,"BALL VALVE-3/4""-800#",43,BOM,43,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,200,,EACH,,,Y,False,,True,,,False,,,
101,3,BOM_RVO673341511/000 x 2,"BALL VALVE-2""-150#",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,210,,EACH,,,Y,False,,True,,,False,,,
102,3,BOM_RVO673341516/000 x 10,"BALL VALVE-1""-300#",10,BOM,10,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,220,,EACH,,,Y,False,,True,,,False,,,
103,3,BOM_RVO673341517/000 x 19,"BALL VALVE-2""-300#",19,BOM,19,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,230,,EACH,,,Y,False,,True,,,False,,,
104,3,BOM_RVO673341518/000 x 1,"BALL VALVE-3""-300#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,240,,EACH,,,Y,False,,True,,,False,,,
105,3,BOM_RVO673341519/000 x 1,"BALL VALVE-4""-300#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,250,,EACH,,,Y,False,,True,,,False,,,
106,3,BOM_RVO673341526/000 x 1,"BALL VALVE-1""-800#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,270,,EACH,,,Y,False,,True,,,False,,,
107,3,BOM_RVO673341527/000 x 3,"BALL VALVE-1/2""-800#",3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,280,,EACH,,,Y,False,,True,,,False,,,
108,3,BOM_RVO673341528/000 x 1,"BALL VALVE-1""-800#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,290,,EACH,,,Y,False,,True,,,False,,,
109,3,BOM_RVO673341529/000 x 14,"BALL VALVE-1/2""-800#",14,BOM,14,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,300,,EACH,,,Y,False,,True,,,False,,,
110,3,BOM_RVO673341530/000 x 1,"BALL VALVE-3/4""-800#",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,310,,EACH,,,Y,False,,True,,,False,,,
